symbol,first_traded,last_traded,n_days,isin,continuity_id,company_name,listing_date,active_flag,status
GIPCL,2010-06-10,2026-06-10,3947,INE162A01010,GIPCL,GUJARAT INDUSTRIES POWER COMPANY LIMITED,1995-02-08,True,active
GISOLUTION,2010-06-10,2023-04-06,952,,GISOLUTION,,,,inactive
GITANJALI,2010-06-10,2018-04-26,1944,,GITANJALI,,,,inactive
GKB,2010-06-10,2015-01-29,812,,GKB,,,,inactive
GKENERGY,2025-09-26,2026-06-10,171,INE1AG301022,GKENERGY,GK ENERGY LIMITED,2025-09-26,True,active
GKSL,2025-12-30,2026-06-10,108,INE0V0W01025,GKSL,GUJARAT KIDNEY AND SUPER SPECIALITY LIMITED,2025-12-30,True,active
GKWLIMITED,2010-06-11,2026-06-10,3504,INE528A01020,GKWLIMITED,GKW LIMITED,2009-07-20,True,active
GLAND,2020-11-20,2026-06-10,1373,INE068V01023,GLAND,GLAND PHARMA LIMITED,2020-11-20,True,active
GLAXO,2010-06-10,2026-06-10,3947,INE159A01016,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,2000-12-15,True,active
GLENMARK,2010-06-10,2026-06-10,3947,INE935A01035,GLENMARK,GLENMARK PHARMACEUTICALS LIMITED,2000-02-07,True,active
GLFL,2010-08-20,2026-04-20,1163,INE540A01017,GLFL,GUJARAT LEASE FINANCING LIMITED,1995-02-08,True,active
GLOBAL,2020-12-07,2026-06-10,1040,INE291W01037,GLOBAL,GLOBAL EDUCATION LIMITED,2020-12-07,True,active
GLOBALE,2024-09-10,2026-04-29,182,INE0URU01010,GLOBALE,GLOBALE TESSILE LIMITED,2024-08-27,True,active
GLOBALVECT,2010-06-11,2026-06-10,3040,INE792H01019,GLOBALVECT,GLOBAL VECTRA HELICORP LIMITED,2006-10-27,True,active
GLOBE,2020-10-07,2026-06-10,905,INE581X01021,GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,2020-10-07,True,active
