symbol,period_end,announce_date,consolidated,revenue_cr,pat_cr,eps_basic,total_income_cr,announce_lag_days
TCS,2022-06-30,2022-07-08,Consolidated,52758.0,9519.0,25.9,53547.0,8
TCS,2022-09-30,2022-10-11,Consolidated,55309.0,10465.0,28.51,56274.0,11
TCS,2022-12-31,2023-01-10,Consolidated,58229.0,10883.0,29.64,58749.0,10
TCS,2023-03-31,2023-04-13,Consolidated,59162.0,11436.0,31.14,60337.0,13
TCS,2023-06-30,2023-07-12,Consolidated,59381.0,11120.0,30.26,60778.0,12
TCS,2023-09-30,2023-10-11,Consolidated,59692.0,11380.0,31.0,60698.0,11
TCS,2023-12-31,2024-01-11,Consolidated,60583.0,11097.0,30.29,61445.0,11
TCS,2024-03-31,2024-04-12,Consolidated,61237.0,12502.0,34.37,62394.0,12
TCS,2024-06-30,2024-07-11,Consolidated,62613.0,12105.0,33.28,63575.0,11
TCS,2024-09-30,2024-10-10,Consolidated,64259.0,11955.0,32.92,64988.0,10
TCS,2024-12-31,2025-01-09,Consolidated,63973.0,12444.0,34.21,65216.0,9
TCS,2025-03-31,2025-04-10,Consolidated,64479.0,12293.0,33.79,65507.0,10
TCS,2025-06-30,2025-07-10,Consolidated,63437.0,12819.0,35.27,65097.0,10
TCS,2025-09-30,2025-10-09,Consolidated,65799.0,12131.0,33.37,66666.0,9
TCS,2025-12-31,2026-01-12,Consolidated,67087.0,10720.0,29.45,68205.0,12
TCS,2026-03-31,2026-04-09,Consolidated,70698.0,13784.0,37.92,71455.0,9
